0.000000	1.888007	speaker1
2.210349	3.499720	speaker1
4.098356	4.881188	speaker1
6.124510	12.801606	speaker1
13.262096	15.288249	speaker2
15.656641	16.301326	speaker2
17.130207	18.465626	speaker2
19.110312	23.300766	speaker2
23.899402	26.938632	speaker2
27.675415	28.089856	speaker2
28.550345	31.359331	seaker2
31.819820	32.326359	speaker2
33.017093	34.628806	speaker2
35.043246	43.147860	speaker2
43.147860	43.746497	speaker1
43.746497	45.127965	speaker2
45.450307	50.423593	speaker2
50.838034	51.528768	speaker1
51.528768	52.173453	speaker2
52.357649	53.923313	speaker1
54.660096	55.995516	speaker1
56.363907	57.607229	speaker2
57.607229	63.179151	speaker1
