11.090843	12.123060	speaker1
12.123060	14.319267	speaker2
14.319267	15.439332	speaker1
15.439332	16.427625	speaker2
16.428000	18.491000	speaker1
18.492059	20.117252	speaker2
20.117252	20.622379	speaker1
20.622379	21.830293	speaker2
21.830293	23.082131	speaker1
23.082131	26.793720	speaker2
26.793720	32.569743	speaker1
32.569743	33.931391	speaker2
33.931391	35.271077	speaker1
35.271077	44.165714	speaker2
44.165714	44.758689	speaker1
44.758689	45.219893	speaker2
45.219893	45.659134	speaker1
45.659134	46.603503	speaker2
46.603503	47.855341	speaker1
47.855341	58.067701	speaker2
58.067701	62.196569	speaker1
62.196569	68.104365	speaker2
68.104365	68.741265	speaker1
68.741265	71.552409	speaker2
71.552409	74.451402	speaker1
74.451402	75.417733	speaker2
75.417733	75.988746	speaker1
75.988746	82.094201	speaker2
82.094201	82.709138	speaker1
82.709138	86.464652	speaker2
86.464652	87.387058	speaker1
87.387058	88.770669	speaker2
88.770669	89.209910	speaker1
89.209910	90.900989	speaker2
90.900989	93.009347	speaker1
93.009347	93.580361	speaker2
93.580361	94.612578	speaker1
94.612578	97.665305	speaker2
97.665305	101.047463	speaker1
101.047463	101.376894	speaker2
101.376894	105.637535	speaker1
105.637535	106.581904	speaker2
106.581904	112.445775	speaker1
112.445775	120.000726	speaker2
