0.000000	0.498804	speaker1
0.855093	3.634144	speaker1
3.634144	7.482061	speaker2
7.980865	12.541359	speaker2
13.467710	15.747957	speaker2
16.603050	17.600658	speaker2
18.099462	18.740781	speaker2
18.740781	21.234802	speaker1
21.234802	25.082719	speaker2
25.510265	26.721646	speaker1
27.006677	28.289316	speaker1
28.289316	29.073151	speaker2
29.073151	30.925852	speaker1
30.925852	32.546965	speaker2
32.546965	33.063584	speaker1
33.206099	33.883047	speaker1
34.096821	34.666882	speaker2
34.880656	35.735748	speaker2
36.359253	36.768985	speaker1
36.768985	41.471995	speaker2
42.184572	45.319912	speaker2
45.747458	46.495664	speaker2
47.190427	47.617974	speaker2
47.956448	49.203458	speaker2
49.203458	49.417231	speaker1
49.506303	52.231911	speaker2
52.320983	52.463499	speaker2
52.463499	52.641643	speaker1
52.641643	55.046591	speaker2
56.364859	57.487168	speaker2
57.629684	58.502591	speaker2
58.662921	59.535828	speaker2
59.696158	63.740033	speaker2
64.025064	65.165188	speaker2
65.610549	66.732858	speaker2
67.320734	68.104569	speaker2
68.229270	68.567744	speaker1
68.639002	69.191249	speaker2
70.099785	71.364610	speaker2
71.934672	74.624651	speaker2
75.194712	77.581846	speaker2
77.724362	79.666135	speaker2
79.826464	80.093681	speaker1
80.093681	80.930959	speaker2
81.055660	82.872732	speaker2
83.104320	86.791907	speaker2
87.219453	89.891618	speaker2
90.426051	91.762133	speaker2
92.064978	92.403453	speaker2
92.403453	93.026958	speaker1
93.026958	97.338050	speaker2
