7.796533	12.606226	speaker1
12.606226	13.814139	speaker2
13.814139	30.088030	speaker1
30.088030	31.603412	speaker2
31.603412	42.474635	speaker1
42.474635	52.972502	speaker2
52.972502	53.411743	speaker1
53.411743	60.857000	speaker2
60.857000	63.696853	speaker1
63.696853	67.709048	speaker2
67.709048	68.197704	speaker1
68.197704	70.163309	speaker2
70.163309	70.624512	speaker1
70.624512	84.334331	speaker2
84.334331	95.491061	speaker1
95.491061	115.707000	speaker2
115.707142	116.333000	speaker1
116.333061	120.000726	speaker2
