0.000000	0.868623	speaker1
1.346366	4.256255	speaker1
4.907723	5.602621	speaker1
5.993502	6.731832	speaker1
7.296437	9.250840	speaker1
9.902308	13.159646	speaker1
13.159646	20.021771	speaker2
20.499514	23.713421	speaker2
24.364889	29.142318	speaker2
29.576630	36.916498	speaker2
36.916498	39.131488	speaker1
39.565800	42.215101	speaker1
42.779707	43.735193	speaker1
45.168421	47.339980	speaker1
47.861154	50.727612	speaker1
51.205355	52.855739	speaker1
53.333482	56.547389	speaker1
57.198857	58.936104	speaker1
59.326984	63.235790	speaker1
63.583239	67.318320	speaker1
67.926357	69.272723	speaker1
69.793897	72.877511	speaker1
73.355253	77.090334	speaker1
77.741802	78.262976	speaker1
78.436701	79.565911	speaker1
79.956792	83.300992	speaker1
83.778735	84.299909	speaker1
84.777652	85.168533	speaker1
85.472551	89.381357	speaker1
85.472551	87.470385	speaker1
89.902531	97.372693	speaker1
97.763573	99.023077	speaker1
99.457389	100.977480	speaker1
101.498654	104.104525	speaker1
104.625699	107.448725	speaker1
107.448725	112.747329	speaker2
112.747329	117.568189	speaker1
118.089363	118.653968	speaker2
